,econ_index,econ_index,econ_index,econ_index,econ_index,econ_index,econ_index,econ_index,econ_index_levels,econ_index_levels,econ_index_levels,econ_index_levels,econ_index_levels,econ_index_levels,econ_index_levels,econ_index_levels,econ_index_change,econ_index_change,econ_index_change,econ_index_change,econ_index_change,econ_index_change,econ_index_change,econ_index_change,econ_index_change_dummy,econ_index_change_dummy,econ_index_change_dummy,econ_index_change_dummy,econ_index_change_dummy,econ_index_change_dummy,econ_index_change_dummy,econ_index_change_dummy
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,352.0,1.9388352272727274,5.053444404447424,-12.24,-0.8525,0.315,3.1825,18.14,352.0,87.95252840909092,29.221104706283796,46.59,62.04,87.155,104.48,156.38,351.0,0.36139434194653475,1.6399030958808036,-27.194756293145527,0.1917925612123894,0.41822584195467805,0.6719913415293655,7.076760377192204,352.0,0.8380681818181818,0.36891264866705487,0.0,1.0,1.0,1.0,1.0
2,354.0,2.5466949152542377,5.2377150568870405,-20.98,-0.825,0.805,8.175,11.54,354.0,88.3789265536723,21.555933277584575,56.19,70.87,88.435,100.27000000000001,135.55,353.0,0.2626211597599954,1.4955906353411588,-24.63962189838519,0.07233563735733473,0.292202371013528,0.5159842961301342,7.901517320354978,354.0,0.8022598870056498,0.3988588257294925,0.0,1.0,1.0,1.0,1.0
3,353.0,2.2283852691218136,6.22222541753355,-18.44,-3.04,1.9,7.72,11.79,353.0,88.16821529745043,20.06985040764713,54.540000000000006,71.77,90.31,100.19,130.44,352.0,0.23753946048953836,1.1879608681729548,-19.215266924405693,0.08164028833008707,0.2707421143444799,0.49400543886565784,6.230590062111796,353.0,0.8073654390934845,0.39492825102952644,0.0,1.0,1.0,1.0,1.0
4,354.0,3.932627118644068,6.6781186933643175,-15.99,-2.2675,5.005,10.0425,16.14,354.0,89.76485875706214,19.849321239345024,54.86,74.2725,92.155,101.29,131.22,353.0,0.21727199874986436,1.1335464603874046,-17.525604260548956,0.057077625570789436,0.2544529262086481,0.4757731313384417,5.295052652493548,354.0,0.7909604519774012,0.4071982396370784,0.0,1.0,1.0,1.0,1.0
5,354.0,0.8091525423728814,3.3458957759077226,-3.15,-1.22,-0.48,1.4725,11.34,354.0,86.64138418079096,28.517320765300227,45.51,62.86,86.185,104.245,149.58,353.0,0.33722302916548297,0.8041895108428173,-12.269216623758727,0.1927710843373509,0.3505892883783446,0.6038242200603783,3.404700579523512,354.0,0.8700564971751412,0.33671719150347057,0.0,1.0,1.0,1.0,1.0
6,354.0,0.03629943502824849,4.699059954288092,-3.99,-2.79,-2.22,0.5075000000000001,14.65,354.0,85.86853107344632,29.85593002419306,43.86,60.517500000000005,84.78,103.2125,152.89,353.0,0.35876299998814526,0.9069284657559428,-14.133760746029434,0.21699215489900947,0.3573648228713644,0.604010630587104,4.858201740251378,354.0,0.884180790960452,0.3204609482396904,0.0,1.0,1.0,1.0,1.0
7,354.0,3.90677966101695,6.571178405281108,-19.63,-2.3425000000000002,4.795,10.0425,15.8,354.0,89.73901129943503,20.404968008215608,53.89,73.43249999999999,92.305,100.165,131.70000000000002,353.0,0.2236896874601105,1.3914671576901305,-21.890346992995735,0.0682221312593656,0.2804487179487225,0.5062166962699788,6.606885178313759,354.0,0.7824858757062146,0.4131390660563617,0.0,1.0,1.0,1.0,1.0
8,353.0,3.041529745042493,3.7727310964285974,-6.99,-0.53,2.14,6.52,10.93,353.0,88.98178470254958,22.700743165625585,52.940000000000005,70.05,91.09,102.07,136.83,352.0,0.2518247064136205,0.8935229614532088,-13.55143870713441,0.12117739728465526,0.2760496087689357,0.4809819273791982,5.1522888929418365,353.0,0.830028328611898,0.37614106591535273,0.0,1.0,1.0,1.0,1.0
9,354.0,2.654689265536723,3.029283620200078,-8.35,0.77,1.94,3.9025,12.11,354.0,88.4869209039548,27.651509297197315,47.53,64.8575,88.175,106.67,147.89,353.0,0.3098196799532349,1.2515533188258101,-19.819352928111343,0.13755158184318717,0.3473795499169263,0.5739164852562872,6.408125577100643,354.0,0.8418079096045198,0.3654375426220691,0.0,1.0,1.0,1.0,1.0
10,353.0,1.8088951841359773,2.492046820479041,-1.82,-0.33,1.17,3.69,8.69,353.0,87.72790368271954,27.173306590246145,49.7,63.92,87.38,105.52,145.70000000000002,352.0,0.3059224416417738,0.7721896770142828,-11.959040287016954,0.17404928081832804,0.31221065260867986,0.5406791998179172,3.18734994618759,353.0,0.8781869688385269,0.32753400092437046,0.0,1.0,1.0,1.0,1.0
11,354.0,1.3648870056497178,8.659141110683638,-8.0,-5.02,-3.05,9.1125,22.99,354.0,87.1971186440678,33.700016722325714,40.64,57.035000000000004,84.41,111.915,161.23000000000002,353.0,0.3922216038331766,0.4574206472349657,-6.246537396121887,0.2515164965231298,0.3834565872363749,0.6174845628859504,1.7475585578970554,354.0,0.9322033898305084,0.2517523928332329,0.0,1.0,1.0,1.0,1.0
12,353.0,-0.40441926345608964,8.444640329877377,-6.96,-5.94,-5.47,0.88,23.89,353.0,85.53583569405099,33.38072329963832,40.67,58.31,82.57,103.73,161.49,352.0,0.39934493177749675,1.118760758950689,-17.58745141588006,0.2189529765348197,0.4316733566543274,0.6989462986735195,5.928162746344556,353.0,0.8725212464589235,0.33398189973176823,0.0,1.0,1.0,1.0,1.0
